Job_title,Company,location
Data Scientist,MBC GROUP,"['Dubai, United Arab Emirates']"
CRM Data Analyst - L'Occitane,Chalhoub Group,"['Dubai, Dubai, United Arab Emirates']"
Data Analyst - Supply Chain,Chalhoub Group,"['Dubai, Dubai, United Arab Emirates']"
Sr. Data Analyst,talabat,"['Business Bay, Dubai, United Arab Emirates']"
Data Analyst- Customer Experience Group | Bangkok-based,Agoda,"['Dubai, Dubai, United Arab Emirates']"
Associate Data Analyst,talabat,"['Business Bay, Dubai, United Arab Emirates']"
Data Analyst - Dubai,De La Rue,"['Dubai, Dubai, United Arab Emirates']"
Associate Data Analyst,talabat,"['Business Bay, Dubai, United Arab Emirates']"
Data Analyst (Medical Insurance),Intelligent Solutions HR,"['Dubai, United Arab Emirates']"
Data Analyst and Communication Specialist,Archcorp Architectural Engineering,"['Dubai, United Arab Emirates']"
"Data Analyst, Procurement",Atlantis Resorts,"['Dubai, Dubai, United Arab Emirates']"
Data Analyst - Commercial,Chalhoub Group,"['Dubai, Dubai, United Arab Emirates']"
MIS / DATA Analyst,Gulf Marketing Group,"['Dubai, United Arab Emirates']"
Data Analyst,Atlantis Resorts,"['Dubai, United Arab Emirates']"
Analyst Customer Experience,talabat,"['Business Bay, Dubai, United Arab Emirates']"
Data Analyst,Kitopi,"['Dubai, Dubai, United Arab Emirates']"
Data Analyst,The RIG Recruitment,"['Dubai, United Arab Emirates']"
Staff Data Scientist I,Careem,"['Dubai, Dubai, United Arab Emirates']"
Data Scientist,Chalhoub Group,"['Dubai, United Arab Emirates']"
Data Scientist,Agility,"['Dubai, United Arab Emirates']"
Data Scientist/ ML Engineer,APCO Worldwide,"['Dubai, Dubai, United Arab Emirates']"
Data Analyst,ARC Talent,"['Dubai, United Arab Emirates']"
Data Engineer,Nakheel,"['Dubai, United Arab Emirates']"
Data Analyst and Statistician,GfK,"['Dubai, Dubai, United Arab Emirates']"
Web Analyst,Chalhoub Group,"['Dubai, United Arab Emirates']"
